Particion,Train_Pct,Alpha,Epochs,Final_MSE,Train_Acc,Test_Acc,Precision,Recall,F1,Weights
60-40,0.6,0.0005,48,0.03082,0.9817739975698664,0.9690346083788707,0.9351145038167938,1.0,0.9664694280078896,"[0.45, -0.4068, -0.4374, -0.4228, 0.0089]"
60-40,0.6,0.001,27,0.03081,0.9817739975698664,0.9690346083788707,0.9351145038167938,1.0,0.9664694280078896,"[0.4502, -0.4068, -0.441, -0.4281, 0.006]"
60-40,0.6,0.005,7,0.03177,0.9756986634264885,0.9653916211293261,0.9312977099236641,0.9959183673469387,0.9625246548323472,"[0.4486, -0.4016, -0.4358, -0.4445, -0.0027]"
60-40,0.6,0.01,7,0.03307,0.9708383961117861,0.9635701275045537,0.9310344827586207,0.9918367346938776,0.9604743083003953,"[0.4406, -0.3948, -0.4334, -0.4553, -0.004]"
60-40,0.6,0.02,7,0.03495,0.9647630619684082,0.9599271402550091,0.9305019305019305,0.9836734693877551,0.9563492063492064,"[0.4211, -0.3913, -0.4334, -0.4654, -0.003]"
70-30,0.7,0.0005,42,0.03173,0.9791666666666666,0.970873786407767,0.9381443298969072,1.0,0.9680851063829787,"[0.4479, -0.4097, -0.4398, -0.4319, 0.008]"
70-30,0.7,0.001,24,0.03175,0.9791666666666666,0.9684466019417476,0.9378238341968912,0.9945054945054945,0.9653333333333334,"[0.4475, -0.4098, -0.4427, -0.4378, 0.005]"
70-30,0.7,0.005,7,0.0326,0.9708333333333333,0.9684466019417476,0.9378238341968912,0.9945054945054945,0.9653333333333334,"[0.4424, -0.4085, -0.4395, -0.4539, -0.0022]"
70-30,0.7,0.01,7,0.03306,0.9697916666666667,0.9684466019417476,0.9378238341968912,0.9945054945054945,0.9653333333333334,"[0.4379, -0.4109, -0.4403, -0.4604, -0.0044]"
70-30,0.7,0.02,7,0.03402,0.9697916666666667,0.9635922330097088,0.9326424870466321,0.989010989010989,0.96,"[0.4373, -0.4162, -0.4422, -0.4691, -0.0126]"
80-20,0.8,0.0005,37,0.03267,0.9781221513217867,0.9709090909090909,0.937007874015748,1.0,0.967479674796748,"[0.4476, -0.4072, -0.4462, -0.4348, 0.0025]"
80-20,0.8,0.001,21,0.03268,0.9726526891522334,0.9709090909090909,0.937007874015748,1.0,0.967479674796748,"[0.4472, -0.4071, -0.4494, -0.4398, -0.0006]"
80-20,0.8,0.005,7,0.03277,0.9717411121239745,0.9709090909090909,0.937007874015748,1.0,0.967479674796748,"[0.4453, -0.4049, -0.4569, -0.448, -0.0072]"
80-20,0.8,0.01,7,0.03269,0.9726526891522334,0.9709090909090909,0.937007874015748,1.0,0.967479674796748,"[0.4477, -0.4016, -0.4659, -0.4479, -0.0101]"
80-20,0.8,0.02,7,0.03297,0.9735642661804923,0.9636363636363636,0.9224806201550387,1.0,0.9596774193548387,"[0.454, -0.3939, -0.4854, -0.4435, -0.0182]"
90-10,0.9,0.0005,34,0.03316,0.9764991896272285,0.9782608695652174,0.9508196721311475,1.0,0.9747899159663865,"[0.4484, -0.4051, -0.45, -0.4327, 0.0028]"
90-10,0.9,0.001,19,0.03314,0.9764991896272285,0.9782608695652174,0.9508196721311475,1.0,0.9747899159663865,"[0.4484, -0.4047, -0.4536, -0.4355, 0.001]"
90-10,0.9,0.005,7,0.0332,0.9748784440842788,0.9710144927536232,0.9354838709677419,1.0,0.9666666666666667,"[0.4517, -0.3984, -0.4655, -0.4364, -0.0002]"
90-10,0.9,0.01,7,0.03354,0.9740680713128039,0.9637681159420289,0.9206349206349206,1.0,0.9586776859504132,"[0.4604, -0.3899, -0.472, -0.432, -0.0032]"
90-10,0.9,0.02,7,0.03522,0.9764991896272285,0.9637681159420289,0.9206349206349206,1.0,0.9586776859504132,"[0.476, -0.377, -0.4855, -0.4171, -0.0122]"
