Gate,Inputs,Alpha,Epochs,Final_MSE,Converged,Accuracy,Weights
AND,2,0.01,200,0.06843,True,1.0,"[-0.1231, 0.3972, 0.3948]"
AND,2,0.05,85,0.0627,True,1.0,"[-0.2327, 0.5024, 0.4889]"
AND,2,0.1,39,0.06326,True,1.0,"[-0.2404, 0.5282, 0.4997]"
AND,2,0.2,17,0.06736,True,1.0,"[-0.2612, 0.5932, 0.5287]"
AND,3,0.01,189,0.06289,False,0.875,"[-0.2106, 0.2337, 0.2298, 0.2273]"
AND,3,0.05,40,0.06339,True,1.0,"[-0.2408, 0.2799, 0.258, 0.2444]"
AND,3,0.1,19,0.06776,True,1.0,"[-0.2712, 0.342, 0.2918, 0.262]"
AND,3,0.2,25,0.10049,False,0.875,"[-0.4324, 0.5456, 0.4097, 0.337]"
AND,4,0.01,93,0.04321,False,0.9375,"[-0.1557, 0.1206, 0.1153, 0.1121, 0.1102]"
AND,4,0.05,21,0.04579,False,0.9375,"[-0.2045, 0.1896, 0.1564, 0.1379, 0.1274]"
AND,4,0.1,14,0.06082,True,1.0,"[-0.2945, 0.3084, 0.2236, 0.1803, 0.1567]"
AND,4,0.2,13,0.16246,False,0.8125,"[-0.5159, 0.621, 0.3856, 0.282, 0.2273]"
OR,2,0.01,200,0.06448,True,1.0,"[0.3215, 0.4377, 0.4399]"
OR,2,0.05,89,0.06299,True,1.0,"[0.2763, 0.4634, 0.4763]"
OR,2,0.1,56,0.06379,True,1.0,"[0.283, 0.4407, 0.4683]"
OR,2,0.2,33,0.06842,True,1.0,"[0.3141, 0.3741, 0.4364]"
OR,3,0.01,38,0.06263,True,1.0,"[0.4789, 0.2554, 0.2584, 0.26]"
OR,3,0.05,11,0.06306,True,1.0,"[0.4969, 0.2262, 0.241, 0.2488]"
OR,3,0.1,7,0.06513,False,0.875,"[0.5189, 0.1891, 0.2175, 0.2318]"
OR,3,0.2,10,0.0735,False,0.875,"[0.5809, 0.1232, 0.1616, 0.1801]"
OR,4,0.01,101,0.04322,False,0.9375,"[0.6536, 0.134, 0.1367, 0.138, 0.1386]"
OR,4,0.05,26,0.04396,False,0.9375,"[0.6904, 0.0996, 0.1095, 0.1144, 0.1168]"
OR,4,0.1,20,0.04633,False,0.9375,"[0.7244, 0.0735, 0.0843, 0.0907, 0.0939]"
OR,4,0.2,16,0.0511,False,0.9375,"[0.7422, 0.0776, 0.0596, 0.0608, 0.0599]"
