Particion,Train_Pct,Alpha,Epochs,Converged,Train_Acc,Test_Acc,Precision,Recall,F1,Weights
60-40,0.6,0.001,100,False,0.991494532199271,0.9927140255009107,0.9839357429718876,1.0,0.9919028340080972,"[-0.009, -0.021, -0.0252, -0.0218, -0.0016]"
60-40,0.6,0.01,100,False,0.991494532199271,0.9927140255009107,0.9839357429718876,1.0,0.9919028340080972,"[-0.09, -0.2102, -0.252, -0.2175, -0.0163]"
60-40,0.6,0.05,100,False,0.991494532199271,0.9927140255009107,0.9839357429718876,1.0,0.9919028340080972,"[-0.45, -1.0509, -1.2599, -1.0876, -0.0814]"
60-40,0.6,0.1,100,False,0.991494532199271,0.9927140255009107,0.9839357429718876,1.0,0.9919028340080972,"[-0.9, -2.1019, -2.5198, -2.1751, -0.1627]"
60-40,0.6,0.5,100,False,0.991494532199271,0.9927140255009107,0.9839357429718876,1.0,0.9919028340080972,"[-4.5, -10.5093, -12.5991, -10.8755, -0.8136]"
60-40,0.6,1.0,100,False,0.991494532199271,0.9927140255009107,0.9839357429718876,1.0,0.9919028340080972,"[-9.0, -21.0187, -25.1981, -21.751, -1.6272]"
70-30,0.7,0.001,100,False,0.984375,0.9805825242718447,0.9833333333333333,0.9725274725274725,0.9779005524861878,"[-0.013, -0.0259, -0.0253, -0.0259, -0.0001]"
70-30,0.7,0.01,100,False,0.984375,0.9805825242718447,0.9833333333333333,0.9725274725274725,0.9779005524861878,"[-0.13, -0.2593, -0.253, -0.2592, -0.0007]"
70-30,0.7,0.05,100,False,0.984375,0.9805825242718447,0.9833333333333333,0.9725274725274725,0.9779005524861878,"[-0.65, -1.2966, -1.2652, -1.2961, -0.0033]"
70-30,0.7,0.1,100,False,0.984375,0.9805825242718447,0.9833333333333333,0.9725274725274725,0.9779005524861878,"[-1.3, -2.5933, -2.5303, -2.5921, -0.0066]"
70-30,0.7,0.5,100,False,0.984375,0.9805825242718447,0.9833333333333333,0.9725274725274725,0.9779005524861878,"[-6.5, -12.9664, -12.6517, -12.9606, -0.033]"
70-30,0.7,1.0,100,False,0.984375,0.9805825242718447,0.9833333333333333,0.9725274725274725,0.9779005524861878,"[-13.0, -25.9327, -25.3034, -25.9211, -0.0661]"
80-20,0.8,0.001,100,False,0.9899726526891522,0.9781818181818182,0.952,1.0,0.9754098360655737,"[-0.009, -0.0244, -0.0259, -0.024, -0.0017]"
80-20,0.8,0.01,100,False,0.9899726526891522,0.9781818181818182,0.952,1.0,0.9754098360655737,"[-0.09, -0.2445, -0.259, -0.2398, -0.0171]"
80-20,0.8,0.05,100,False,0.9899726526891522,0.9781818181818182,0.952,1.0,0.9754098360655737,"[-0.45, -1.2224, -1.295, -1.1988, -0.0854]"
80-20,0.8,0.1,100,False,0.9899726526891522,0.9781818181818182,0.952,1.0,0.9754098360655737,"[-0.9, -2.4447, -2.5899, -2.3975, -0.1708]"
80-20,0.8,0.5,100,False,0.9899726526891522,0.9781818181818182,0.952,1.0,0.9754098360655737,"[-4.5, -12.2237, -12.9497, -11.9877, -0.8538]"
80-20,0.8,1.0,100,False,0.9899726526891522,0.9781818181818182,0.952,1.0,0.9754098360655737,"[-9.0, -24.4473, -25.8994, -23.9755, -1.7077]"
90-10,0.9,0.001,100,False,0.9902755267423015,0.9927536231884058,1.0,0.9827586206896551,0.991304347826087,"[-0.012, -0.0272, -0.0265, -0.0245, 0.0014]"
90-10,0.9,0.01,100,False,0.9902755267423015,0.9927536231884058,1.0,0.9827586206896551,0.991304347826087,"[-0.12, -0.2719, -0.2648, -0.245, 0.0143]"
90-10,0.9,0.05,100,False,0.9902755267423015,0.9927536231884058,1.0,0.9827586206896551,0.991304347826087,"[-0.6, -1.3596, -1.324, -1.2249, 0.0713]"
90-10,0.9,0.1,100,False,0.9902755267423015,0.9927536231884058,1.0,0.9827586206896551,0.991304347826087,"[-1.2, -2.7192, -2.6481, -2.4498, 0.1426]"
90-10,0.9,0.5,100,False,0.9902755267423015,0.9927536231884058,1.0,0.9827586206896551,0.991304347826087,"[-6.0, -13.5959, -13.2404, -12.2488, 0.713]"
90-10,0.9,1.0,100,False,0.9902755267423015,0.9927536231884058,1.0,0.9827586206896551,0.991304347826087,"[-12.0, -27.1917, -26.4809, -24.4975, 1.4259]"
