Gate,Inputs,Rule,Alpha,Epochs,Converged,Final_Errors,Accuracy,Weights
AND,2,Regla 1,0.1,100,False,3,0.25,"[100.0, 100.0, 100.0]"
AND,2,Regla 2,0.1,6,True,0,1.0,"[-3.0, 2.0, 1.0]"
AND,2,Regla 3,0.1,4,True,0,1.0,"[-0.2, 0.2, 0.1]"
AND,2,Regla 3 (Sweep),0.01,6,True,0,1.0,"[-0.03, 0.02, 0.01]"
AND,2,Regla 3 (Sweep),0.05,4,True,0,1.0,"[-0.1, 0.1, 0.05]"
AND,2,Regla 3 (Sweep),0.1,4,True,0,1.0,"[-0.2, 0.2, 0.1]"
AND,2,Regla 3 (Sweep),0.2,4,True,0,1.0,"[-0.4, 0.4, 0.2]"
AND,2,Regla 3 (Sweep),0.5,6,True,0,1.0,"[-1.5, 1.0, 0.5]"
AND,2,Regla 3 (Sweep),1.0,6,True,0,1.0,"[-3.0, 2.0, 1.0]"
AND,3,Regla 1,0.1,100,False,7,0.125,"[100.0, 100.0, 100.0, 100.0]"
AND,3,Regla 2,0.1,7,True,0,1.0,"[-4.0, 2.0, 1.0, 1.0]"
AND,3,Regla 3,0.1,3,True,0,1.0,"[-0.2, 0.1, 0.1, 0.1]"
AND,3,Regla 3 (Sweep),0.01,7,True,0,1.0,"[-0.04, 0.02, 0.01, 0.01]"
AND,3,Regla 3 (Sweep),0.05,3,True,0,1.0,"[-0.1, 0.05, 0.05, 0.05]"
AND,3,Regla 3 (Sweep),0.1,3,True,0,1.0,"[-0.2, 0.1, 0.1, 0.1]"
AND,3,Regla 3 (Sweep),0.2,3,True,0,1.0,"[-0.4, 0.2, 0.2, 0.2]"
AND,3,Regla 3 (Sweep),0.5,7,True,0,1.0,"[-2.0, 1.0, 0.5, 0.5]"
AND,3,Regla 3 (Sweep),1.0,7,True,0,1.0,"[-4.0, 2.0, 1.0, 1.0]"
AND,4,Regla 1,0.1,100,False,15,0.0625,"[100.0, 100.0, 100.0, 100.0, 100.0]"
AND,4,Regla 2,0.1,16,True,0,1.0,"[-8.0, 4.0, 2.0, 1.0, 1.0]"
AND,4,Regla 3,0.1,17,True,0,1.0,"[-0.8, 0.4, 0.2, 0.1, 0.1]"
AND,4,Regla 3 (Sweep),0.01,16,True,0,1.0,"[-0.08, 0.03, 0.03, 0.01, 0.01]"
AND,4,Regla 3 (Sweep),0.05,17,True,0,1.0,"[-0.4, 0.2, 0.1, 0.05, 0.05]"
AND,4,Regla 3 (Sweep),0.1,17,True,0,1.0,"[-0.8, 0.4, 0.2, 0.1, 0.1]"
AND,4,Regla 3 (Sweep),0.2,17,True,0,1.0,"[-1.6, 0.8, 0.4, 0.2, 0.2]"
AND,4,Regla 3 (Sweep),0.5,16,True,0,1.0,"[-4.0, 2.0, 1.0, 0.5, 0.5]"
AND,4,Regla 3 (Sweep),1.0,16,True,0,1.0,"[-8.0, 4.0, 2.0, 1.0, 1.0]"
OR,2,Regla 1,0.1,100,False,1,0.75,"[300.0, 200.0, 200.0]"
OR,2,Regla 2,0.1,4,True,0,1.0,"[-1.0, 1.0, 1.0]"
OR,2,Regla 3,0.1,4,True,0,1.0,"[-0.1, 0.1, 0.1]"
OR,2,Regla 3 (Sweep),0.01,4,True,0,1.0,"[-0.01, 0.01, 0.01]"
OR,2,Regla 3 (Sweep),0.05,4,True,0,1.0,"[-0.05, 0.05, 0.05]"
OR,2,Regla 3 (Sweep),0.1,4,True,0,1.0,"[-0.1, 0.1, 0.1]"
OR,2,Regla 3 (Sweep),0.2,4,True,0,1.0,"[-0.2, 0.2, 0.2]"
OR,2,Regla 3 (Sweep),0.5,4,True,0,1.0,"[-0.5, 0.5, 0.5]"
OR,2,Regla 3 (Sweep),1.0,4,True,0,1.0,"[-1.0, 1.0, 1.0]"
OR,3,Regla 1,0.1,100,False,1,0.875,"[700.0, 400.0, 400.0, 400.0]"
OR,3,Regla 2,0.1,5,True,0,1.0,"[-1.0, 1.0, 1.0, 1.0]"
OR,3,Regla 3,0.1,5,True,0,1.0,"[-0.1, 0.1, 0.1, 0.1]"
OR,3,Regla 3 (Sweep),0.01,5,True,0,1.0,"[-0.01, 0.01, 0.01, 0.01]"
OR,3,Regla 3 (Sweep),0.05,5,True,0,1.0,"[-0.05, 0.05, 0.05, 0.05]"
OR,3,Regla 3 (Sweep),0.1,5,True,0,1.0,"[-0.1, 0.1, 0.1, 0.1]"
OR,3,Regla 3 (Sweep),0.2,5,True,0,1.0,"[-0.2, 0.2, 0.2, 0.2]"
OR,3,Regla 3 (Sweep),0.5,5,True,0,1.0,"[-0.5, 0.5, 0.5, 0.5]"
