Particion,Train_Pct,Alpha,Epochs,Final_MSE,Train_Acc,Test_Acc,Weights
60-40,0.6,0.001,79,0.02401,1.0,1.0,"[0.3378, -0.0329, 0.1588, -0.1737, -0.1609]"
60-40,0.6,0.005,56,0.02335,1.0,1.0,"[0.3397, 0.0175, 0.1418, -0.2337, -0.1446]"
60-40,0.6,0.01,48,0.02333,1.0,1.0,"[0.3397, 0.0366, 0.1334, -0.2721, -0.1182]"
60-40,0.6,0.05,21,0.02438,1.0,1.0,"[0.3269, 0.0521, 0.1042, -0.3378, -0.0632]"
60-40,0.6,0.1,11,0.02829,1.0,1.0,"[0.3176, 0.0435, 0.0658, -0.3596, -0.0322]"
70-30,0.7,0.001,64,0.02282,1.0,1.0,"[0.3356, -0.0377, 0.158, -0.1748, -0.1609]"
70-30,0.7,0.005,54,0.02205,1.0,1.0,"[0.3355, 0.0098, 0.1398, -0.2444, -0.1389]"
70-30,0.7,0.01,44,0.02182,1.0,1.0,"[0.3343, 0.0231, 0.1332, -0.2813, -0.1168]"
70-30,0.7,0.05,14,0.02214,1.0,1.0,"[0.3262, 0.027, 0.1241, -0.3349, -0.0925]"
70-30,0.7,0.1,10,0.02221,1.0,1.0,"[0.3298, 0.028, 0.1335, -0.3555, -0.0722]"
80-20,0.8,0.001,75,0.02287,1.0,1.0,"[0.3353, -0.0296, 0.1398, -0.1967, -0.1578]"
80-20,0.8,0.005,60,0.02193,1.0,1.0,"[0.3342, 0.0174, 0.1179, -0.2853, -0.1205]"
80-20,0.8,0.01,42,0.02183,1.0,1.0,"[0.3326, 0.024, 0.1106, -0.3162, -0.1046]"
80-20,0.8,0.05,11,0.02742,1.0,1.0,"[0.3323, 0.0, 0.0881, -0.3809, -0.0904]"
80-20,0.8,0.1,18,0.03824,1.0,1.0,"[0.3417, -0.0156, 0.0881, -0.4569, -0.0529]"
90-10,0.9,0.001,66,0.02177,1.0,1.0,"[0.3386, -0.0331, 0.1376, -0.1964, -0.1553]"
90-10,0.9,0.005,56,0.02088,1.0,1.0,"[0.3377, 0.011, 0.1146, -0.2863, -0.1148]"
90-10,0.9,0.01,39,0.0208,1.0,1.0,"[0.3371, 0.0171, 0.1064, -0.3165, -0.0983]"
90-10,0.9,0.05,13,0.02269,1.0,1.0,"[0.3435, 0.0131, 0.0756, -0.3858, -0.0625]"
90-10,0.9,0.1,11,0.02547,1.0,1.0,"[0.352, 0.0013, 0.0803, -0.4157, -0.0482]"
