Particion,Train_Pct,Alpha,Epochs,Converged,Train_Acc,Test_Acc,Weights
60-40,0.6,0.001,2,True,1.0,1.0,"[0.001, 0.0019, 0.0057, -0.0089, -0.0037]"
60-40,0.6,0.01,2,True,1.0,1.0,"[0.01, 0.019, 0.057, -0.089, -0.037]"
60-40,0.6,0.05,2,True,1.0,1.0,"[0.05, 0.095, 0.285, -0.445, -0.185]"
60-40,0.6,0.1,2,True,1.0,1.0,"[0.1, 0.19, 0.57, -0.89, -0.37]"
60-40,0.6,0.5,2,True,1.0,1.0,"[0.5, 0.95, 2.85, -4.45, -1.85]"
60-40,0.6,1.0,2,True,1.0,1.0,"[1.0, 1.9, 5.7, -8.9, -3.7]"
70-30,0.7,0.001,2,True,1.0,1.0,"[0.001, 0.0019, 0.0057, -0.0089, -0.0037]"
70-30,0.7,0.01,2,True,1.0,1.0,"[0.01, 0.019, 0.057, -0.089, -0.037]"
70-30,0.7,0.05,2,True,1.0,1.0,"[0.05, 0.095, 0.285, -0.445, -0.185]"
70-30,0.7,0.1,2,True,1.0,1.0,"[0.1, 0.19, 0.57, -0.89, -0.37]"
70-30,0.7,0.5,2,True,1.0,1.0,"[0.5, 0.95, 2.85, -4.45, -1.85]"
70-30,0.7,1.0,2,True,1.0,1.0,"[1.0, 1.9, 5.7, -8.9, -3.7]"
80-20,0.8,0.001,2,True,1.0,1.0,"[0.001, 0.0019, 0.0057, -0.0089, -0.0037]"
80-20,0.8,0.01,2,True,1.0,1.0,"[0.01, 0.019, 0.057, -0.089, -0.037]"
80-20,0.8,0.05,2,True,1.0,1.0,"[0.05, 0.095, 0.285, -0.445, -0.185]"
80-20,0.8,0.1,2,True,1.0,1.0,"[0.1, 0.19, 0.57, -0.89, -0.37]"
80-20,0.8,0.5,2,True,1.0,1.0,"[0.5, 0.95, 2.85, -4.45, -1.85]"
80-20,0.8,1.0,2,True,1.0,1.0,"[1.0, 1.9, 5.7, -8.9, -3.7]"
90-10,0.9,0.001,2,True,1.0,1.0,"[0.001, 0.0019, 0.0057, -0.0089, -0.0037]"
90-10,0.9,0.01,2,True,1.0,1.0,"[0.01, 0.019, 0.057, -0.089, -0.037]"
90-10,0.9,0.05,2,True,1.0,1.0,"[0.05, 0.095, 0.285, -0.445, -0.185]"
90-10,0.9,0.1,2,True,1.0,1.0,"[0.1, 0.19, 0.57, -0.89, -0.37]"
90-10,0.9,0.5,2,True,1.0,1.0,"[0.5, 0.95, 2.85, -4.45, -1.85]"
90-10,0.9,1.0,2,True,1.0,1.0,"[1.0, 1.9, 5.7, -8.9, -3.7]"
