eta,beta,epocas,convergencia,mse_final
0.1,0.0,9371,True,0.0049987120987489905
0.1,0.1,8431,True,0.004998935914177954
0.1,0.2,7488,True,0.004998420586068961
0.1,0.3,6543,True,0.004998630507105391
0.1,0.4,5598,True,0.004999967271382859
0.1,0.5,4656,True,0.004999181794402049
0.1,0.6,3717,True,0.0049994621993126554
0.1,0.7,2783,True,0.004995046992727774
0.1,0.8,1852,True,0.004998963936285398
0.1,0.9,929,True,0.004992475682366104
0.1,1.0,15000,False,0.16734671512807198
0.2,0.0,4911,True,0.004997434022158299
0.2,0.1,4432,True,0.0049981733449357656
0.2,0.2,3940,True,0.00499975446754423
0.2,0.3,3439,True,0.004996957243261466
0.2,0.4,2933,True,0.004994906013611511
0.2,0.5,2427,True,0.004998683558939194
0.2,0.6,1927,True,0.004998444097078052
0.2,0.7,1435,True,0.004991819224164458
0.2,0.8,950,True,0.004998341474799395
0.2,0.9,476,True,0.004991113786521012
0.2,1.0,15000,False,0.1669954059707205
0.3,0.0,3866,True,0.004996390279738653
0.3,0.1,3827,True,0.004999279554395065
0.3,0.2,4582,True,0.004997225441721792
0.3,0.3,4053,True,0.0049966818897853905
0.3,0.4,2576,True,0.00499368022523009
0.3,0.5,1946,True,0.0049919038912666506
0.3,0.6,1462,True,0.00499121801181432
0.3,0.7,1049,True,0.004990160440908311
0.3,0.8,677,True,0.004991160771883711
0.3,0.9,334,True,0.004979920963936202
0.3,1.0,15000,False,0.17172811296411178
0.4,0.0,4293,True,0.004996012192728917
0.4,0.1,3845,True,0.0049980085091468
0.4,0.2,3431,True,0.004995082451981725
0.4,0.3,3036,True,0.004999539722211264
0.4,0.4,2650,True,0.004999890048500313
0.4,0.5,2263,True,0.00499615875376024
0.4,0.6,1866,True,0.004995902506605351
0.4,0.7,1452,True,0.004994941165503005
0.4,0.8,1016,True,0.0049845630079089955
0.4,0.9,310,True,0.004968775730929729
0.4,1.0,15000,False,0.25333996902472045
0.5,0.0,3137,True,0.0049995227276292045
0.5,0.1,2814,True,0.004996853352479508
0.5,0.2,2512,True,0.004993568615255898
0.5,0.3,2222,True,0.0049910473750001865
0.5,0.4,1936,True,0.004995917071446599
0.5,0.5,1649,True,0.004991947356395042
0.5,0.6,1355,True,0.004990653584737301
0.5,0.7,1051,True,0.0049780513465772485
0.5,0.8,734,True,0.004960761784260871
0.5,0.9,394,True,0.0049394139209634124
0.5,1.0,15000,False,0.2521130881882489
0.6,0.0,2451,True,0.004997709800455575
0.6,0.1,2202,True,0.004990875371465699
0.6,0.2,1966,True,0.00499727715671192
0.6,0.3,1739,True,0.0049916713198981345
0.6,0.4,1514,True,0.004994828920218642
0.6,0.5,1288,True,0.004985459289569557
0.6,0.6,1056,True,0.004989884088485601
0.6,0.7,817,True,0.004981042064741453
0.6,0.8,570,True,0.004995697985486711
0.6,0.9,322,True,0.004944814104132113
0.6,1.0,15000,False,0.25314224986676026
0.7,0.0,2002,True,0.004996714638709252
