Particion,Modelo,Arquitectura,Train_Acc,Test_Acc,Precision_Macro,Recall_Macro,F1_Macro,Tiempo_ms,Epocas,Convergencia
60-40,Perceptrón Simple,"[4, 1] (Lineal)",0.9890643985419199,0.9908925318761385,0.9907046576805019,0.990979863262472,0.9908389150872556,122.38752499979455,150,False
60-40,Adaline / LMS,"[4, 1] (Lineal)",0.9744835965978129,0.9799635701275046,0.9791666666666667,0.9814189189189189,0.9798952649503789,12.87682899965148,8,True
60-40,MLP (Backpropagation),"[4, 8, 4, 1]",0.9975698663426489,0.9981785063752276,0.9983164983164983,0.9980237154150198,0.9981667306696943,1849.0658800001256,30,True
70-30,Perceptrón Simple,"[4, 1] (Lineal)",0.9885416666666667,0.9927184466019418,0.9928355244490684,0.9925676474063572,0.9926956830068256,134.0281579996372,150,False
70-30,Adaline / LMS,"[4, 1] (Lineal)",0.9770833333333333,0.9830097087378641,0.9826732673267327,0.9838709677419355,0.9829871577817235,13.546817001042655,7,True
70-30,MLP (Backpropagation),"[4, 8, 4, 1]",0.9927083333333333,0.9902912621359223,0.9899497487437185,0.9907834101382489,0.9902726950773226,1509.3553629994858,21,True
80-20,Perceptrón Simple,"[4, 1] (Lineal)",0.9872495446265938,0.9927007299270073,0.9924812030075187,0.993006993006993,0.9926909944515578,152.40850599911937,150,False
80-20,Adaline / LMS,"[4, 1] (Lineal)",0.970856102003643,0.9781021897810219,0.9781021897810219,0.979020979020979,0.9780916844349681,14.803133999521378,7,True
80-20,MLP (Backpropagation),"[4, 8, 4, 1]",0.9981785063752276,1.0,1.0,1.0,1.0,2088.6122760002763,25,True
90-10,Perceptrón Simple,"[4, 1] (Lineal)",0.988663967611336,0.9854014598540146,0.9852941176470589,0.9859154929577465,0.9853944562899787,167.11845400095626,150,False
90-10,Adaline / LMS,"[4, 1] (Lineal)",0.9757085020242915,0.9854014598540146,0.9852941176470589,0.9859154929577465,0.9853944562899787,17.32993599944166,7,True
90-10,MLP (Backpropagation),"[4, 8, 4, 1]",0.9919028340080972,0.9854014598540146,0.9852941176470589,0.9859154929577465,0.9853944562899787,1589.329981999981,17,True
