Particion,Modelo,Arquitectura,Train_Acc,Test_Acc,Precision_Macro,Recall_Macro,F1_Macro,Tiempo_ms,Epocas,Convergencia
60-40,Perceptrón Simple,"[30, 1] (Lineal)",1.0,0.9473684210526315,0.946441672780631,0.9426885457925794,0.9444805194805195,30.609026000092854,98,True
60-40,Adaline / LMS,"[30, 1] (Lineal)",0.9736070381231672,0.9473684210526315,0.9602649006622517,0.9325842696629214,0.9431657665143331,46.35742500067863,64,True
60-40,MLP (Backpropagation),"[30, 16, 8, 1]",0.9912023460410557,0.9649122807017544,0.9727891156462585,0.9550561797752809,0.96248457424928,681.9971430013538,25,True
70-30,Perceptrón Simple,"[30, 1] (Lineal)",1.0,0.9473684210526315,0.948849104859335,0.9431818181818181,0.9456970466814862,32.774193001387175,90,True
70-30,Adaline / LMS,"[30, 1] (Lineal)",0.9673366834170855,0.9532163742690059,0.9626168224299065,0.9444444444444444,0.9511707595659623,65.45438399916748,75,True
70-30,MLP (Backpropagation),"[30, 16, 8, 1]",0.992462311557789,0.9649122807017544,0.9683752141633353,0.9602272727272727,0.9637199434229138,500.81233699893346,16,True
80-20,Perceptrón Simple,"[30, 1] (Lineal)",0.9956043956043956,0.9298245614035088,0.9304347826086956,0.9244204509368052,0.9271099744245523,67.09550999948988,150,False
80-20,Adaline / LMS,"[30, 1] (Lineal)",0.9714285714285714,0.9736842105263158,0.9785714285714286,0.9680851063829787,0.9725675784069945,53.100746001291554,41,True
80-20,MLP (Backpropagation),"[30, 16, 8, 1]",0.9912087912087912,0.9736842105263158,0.9744245524296675,0.9712607176881549,0.9727598566308244,535.6024109987629,15,True
90-10,Perceptrón Simple,"[30, 1] (Lineal)",0.982421875,0.9473684210526315,0.9384920634920635,0.9479729729729729,0.942866688940862,77.49646699994628,150,False
90-10,Adaline / LMS,"[30, 1] (Lineal)",0.970703125,0.9649122807017544,0.9743589743589743,0.95,0.9605263157894737,31.760640000356943,30,True
90-10,MLP (Backpropagation),"[30, 16, 8, 1]",0.990234375,0.9824561403508771,0.9761904761904762,0.9864864864864865,0.9809555629802873,1250.168095000845,31,True
