Particion,Modelo,Test_Acc,F1_Macro,Tiempo_ms,Epocas
60-40,Perceptrón Simple,0.9908925318761385,0.9908389150872556,122.38752499979455,150
60-40,Adaline / LMS,0.9799635701275046,0.9798952649503789,12.87682899965148,8
60-40,MLP (Backpropagation),0.9981785063752276,0.9981667306696943,1849.0658800001256,30
70-30,Perceptrón Simple,0.9927184466019418,0.9926956830068256,134.0281579996372,150
70-30,Adaline / LMS,0.9830097087378641,0.9829871577817235,13.546817001042655,7
70-30,MLP (Backpropagation),0.9902912621359223,0.9902726950773226,1509.3553629994858,21
80-20,Perceptrón Simple,0.9927007299270073,0.9926909944515578,152.40850599911937,150
80-20,Adaline / LMS,0.9781021897810219,0.9780916844349681,14.803133999521378,7
80-20,MLP (Backpropagation),1.0,1.0,2088.6122760002763,25
90-10,Perceptrón Simple,0.9854014598540146,0.9853944562899787,167.11845400095626,150
90-10,Adaline / LMS,0.9854014598540146,0.9853944562899787,17.32993599944166,7
90-10,MLP (Backpropagation),0.9854014598540146,0.9853944562899787,1589.329981999981,17
60-40,Taller 1 Perceptrón (ref),0.9927,0.9919,,100
70-30,Taller 1 Perceptrón (ref),0.9806,0.9779,,100
80-20,Taller 1 Perceptrón (ref),0.9782,0.9754,,100
90-10,Taller 1 Perceptrón (ref),0.9783,0.975,,100
60-40,Taller 1 Adaline (ref),0.969,0.9665,,27
70-30,Taller 1 Adaline (ref),0.9709,0.9681,,24
80-20,Taller 1 Adaline (ref),0.9709,0.9675,,21
90-10,Taller 1 Adaline (ref),0.971,0.967,,20
