Particion,Modelo,Arquitectura,Train_Acc,Test_Acc,Precision_Macro,Recall_Macro,F1_Macro,Tiempo_ms,Epocas,Convergencia
60-40,Perceptrón Simple,"[13, 3] (Lineal)",1.0,0.971830985915493,0.9696969696969697,0.9761904761904763,0.9717813051146384,2.0475600013014628,5,True
60-40,Adaline / LMS,"[13, 3] (Lineal)",0.9906542056074766,0.9859154929577465,0.9841269841269842,0.9880952380952381,0.985809312638581,23.468950999813387,42,True
60-40,MLP (Backpropagation),"[13, 10, 3]",1.0,0.9859154929577465,0.9841269841269842,0.9880952380952381,0.985809312638581,119.83400999997684,18,True
70-30,Perceptrón Simple,"[13, 3] (Lineal)",1.0,0.9811320754716981,0.9814814814814815,0.9841269841269842,0.9823461091753775,2.388648001215188,8,True
70-30,Adaline / LMS,"[13, 3] (Lineal)",1.0,0.9811320754716981,0.9814814814814815,0.9841269841269842,0.9823461091753775,24.53380000042671,38,True
70-30,MLP (Backpropagation),"[13, 10, 3]",1.0,0.9811320754716981,0.9814814814814815,0.9841269841269842,0.9823461091753775,105.78786600126477,15,True
80-20,Perceptrón Simple,"[13, 3] (Lineal)",1.0,1.0,1.0,1.0,1.0,2.3949260012159357,8,True
80-20,Adaline / LMS,"[13, 3] (Lineal)",1.0,1.0,1.0,1.0,1.0,25.33692799988785,33,True
80-20,MLP (Backpropagation),"[13, 10, 3]",1.0,0.9722222222222222,0.9777777777777779,0.9696969696969697,0.972632731253421,132.43133499963733,16,True
90-10,Perceptrón Simple,"[13, 3] (Lineal)",1.0,1.0,1.0,1.0,1.0,2.827086000252166,10,True
90-10,Adaline / LMS,"[13, 3] (Lineal)",1.0,1.0,1.0,1.0,1.0,26.566204000118887,32,True
90-10,MLP (Backpropagation),"[13, 10, 3]",1.0,1.0,1.0,1.0,1.0,125.27127899920742,14,True
